DMA,COVID19: (1/15/20 - 4/17/20),Coronavirus: (1/15/20 - 4/17/20)
Abilene-Sweetwater TX,44,55
Albany GA,36,54
Albany-Schenectady-Troy NY,47,71
Albuquerque-Santa Fe NM,53,80
Alexandria LA,46,62
Alpena MI,75,100
Amarillo TX,46,58
Anchorage AK,61,70
Atlanta GA,43,69
Augusta GA,34,57
Austin TX,49,68
Bakersfield CA,44,64
Baltimore MD,48,73
Bangor ME,50,74
Baton Rouge LA,37,60
Beaumont-Port Arthur TX,31,53
Bend OR,60,75
"Billings, MT",53,72
Biloxi-Gulfport MS,41,58
Binghamton NY,57,70
Birmingham AL,44,65
Bluefield-Beckley-Oak Hill WV,49,72
Boise ID,50,83
Boston MA-Manchester NH,57,75
Bowling Green KY,47,62
Buffalo NY,44,65
Burlington VT-Plattsburgh NY,64,69
Butte-Bozeman MT,58,83
Casper-Riverton WY,53,74
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,52,66
Champaign & Springfield-Decatur IL,46,59
Charleston SC,46,63
Charleston-Huntington WV,48,66
Charlotte NC,38,63
Charlottesville VA,55,72
Chattanooga TN,41,61
Cheyenne WY-Scottsbluff NE,54,70
Chicago IL,50,72
Chico-Redding CA,53,68
Cincinnati OH,46,68
Clarksburg-Weston WV,43,78
Cleveland-Akron (Canton) OH,43,71
Colorado Springs-Pueblo CO,60,70
Columbia SC,33,55
Columbia-Jefferson City MO,52,59
Columbus GA,38,57
Columbus OH,47,70
Columbus-Tupelo-West Point MS,36,58
Corpus Christi TX,39,56
Dallas-Ft. Worth TX,42,61
Davenport IA-Rock Island-Moline IL,49,65
Dayton OH,41,67
Denver CO,62,78
Des Moines-Ames IA,49,63
Detroit MI,53,81
Dothan AL,37,67
Duluth MN-Superior WI,71,75
El Paso TX,39,62
Elmira NY,50,71
Erie PA,49,66
Eugene OR,58,75
Eureka CA,61,69
Evansville IN,44,61
Fairbanks AK,71,70
Fargo-Valley City ND,50,73
Flint-Saginaw-Bay City MI,51,72
Florence-Myrtle Beach SC,37,56
Fresno-Visalia CA,44,63
Ft. Myers-Naples FL,52,74
Ft. Smith-Fayetteville-Springdale-Rogers AR,55,63
Ft. Wayne IN,43,63
Gainesville FL,58,69
Glendive MT,100,83
Grand Junction-Montrose CO,60,69
Grand Rapids-Kalamazoo-Battle Creek MI,53,74
Great Falls MT,45,70
Green Bay-Appleton WI,52,73
Greensboro-High Point-Winston Salem NC,39,61
Greenville-New Bern-Washington NC,35,60
Greenville-Spartanburg SC-Asheville NC-Anderson SC,44,63
Greenwood-Greenville MS,27,51
Harlingen-Weslaco-Brownsville-McAllen TX,31,53
Harrisburg-Lancaster-Lebanon-York PA,50,73
Harrisonburg VA,40,64
Hartford & New Haven CT,51,75
Hattiesburg-Laurel MS,28,59
Helena MT,81,79
Honolulu HI,69,77
Houston TX,41,65
Huntsville-Decatur (Florence) AL,50,69
Idaho Falls-Pocatello ID,46,73
Indianapolis IN,45,65
Jackson MS,32,56
Jackson TN,39,58
Jacksonville FL,42,62
Johnstown-Altoona PA,50,79
Jonesboro AR,46,56
Joplin MO-Pittsburg KS,46,65
Juneau AK,78,82
Kansas City MO,44,64
Knoxville TN,48,67
La Crosse-Eau Claire WI,60,67
Lafayette IN,42,67
Lafayette LA,42,56
Lake Charles LA,39,61
Lansing MI,51,75
Laredo TX,29,51
Las Vegas NV,39,71
Lexington KY,60,61
Lima OH,39,73
Lincoln & Hastings-Kearney NE,48,61
Little Rock-Pine Bluff AR,45,60
Los Angeles CA,48,74
Louisville KY,45,63
Lubbock TX,33,54
Macon GA,39,54
Madison WI,54,69
Mankato MN,41,69
Marquette MI,68,77
Medford-Klamath Falls OR,53,72
Memphis TN,38,53
Meridian MS,36,59
Miami-Ft. Lauderdale FL,44,75
Milwaukee WI,46,70
Minneapolis-St. Paul MN,61,73
Minot-Bismarck-Dickinson(Williston) ND,36,70
Missoula MT,63,80
Mobile AL-Pensacola (Ft. Walton Beach) FL,39,59
Monroe LA-El Dorado AR,46,60
Monterey-Salinas CA,52,68
Montgomery (Selma) AL,23,49
Nashville TN,47,65
New Orleans LA,39,62
New York NY,44,80
Norfolk-Portsmouth-Newport News VA,40,63
North Platte NE,55,58
Odessa-Midland TX,36,56
Oklahoma City OK,44,60
Omaha NE,45,61
Orlando-Daytona Beach-Melbourne FL,42,72
Ottumwa IA-Kirksville MO,53,71
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,50,58
Palm Springs CA,47,71
Panama City FL,50,70
Parkersburg WV,46,77
Peoria-Bloomington IL,52,60
Philadelphia PA,49,73
Phoenix AZ,46,74
Pittsburgh PA,45,75
Portland OR,54,75
Portland-Auburn ME,60,77
Presque Isle ME,48,77
Providence RI-New Bedford MA,45,70
Quincy IL-Hannibal MO-Keokuk IA,48,62
Raleigh-Durham (Fayetteville) NC,40,62
Rapid City SD,49,73
Reno NV,48,68
Richmond-Petersburg VA,44,66
Roanoke-Lynchburg VA,42,66
Rochester MN-Mason City IA-Austin MN,64,68
Rochester NY,47,68
Rockford IL,48,62
Sacramento-Stockton-Modesto CA,48,69
Salisbury MD,52,69
Salt Lake City UT,49,70
San Angelo TX,52,55
San Antonio TX,42,61
San Diego CA,55,78
San Francisco-Oakland-San Jose CA,51,77
Santa Barbara-Santa Maria-San Luis Obispo CA,53,69
Savannah GA,40,63
Seattle-Tacoma WA,57,78
Sherman TX-Ada OK,45,60
Shreveport LA,38,56
Sioux City IA,50,63
Sioux Falls(Mitchell) SD,56,66
South Bend-Elkhart IN,40,69
Spokane WA,55,69
Springfield MO,51,66
Springfield-Holyoke MA,45,64
St. Joseph MO,39,57
St. Louis MO,43,62
Syracuse NY,45,69
Tallahassee FL-Thomasville GA,44,62
Tampa-St. Petersburg (Sarasota) FL,45,73
Terre Haute IN,48,64
Toledo OH,50,67
Topeka KS,42,60
Traverse City-Cadillac MI,65,84
Tri-Cities TN-VA,47,61
Tucson (Sierra Vista) AZ,50,71
Tulsa OK,48,60
Twin Falls ID,42,79
Tyler-Longview(Lufkin & Nacogdoches) TX,41,55
Utica NY,41,64
Victoria TX,23,54
Waco-Temple-Bryan TX,40,53
Washington DC (Hagerstown MD),46,75
Watertown NY,44,58
Wausau-Rhinelander WI,60,72
West Palm Beach-Ft. Pierce FL,42,78
Wheeling WV-Steubenville OH,49,73
Wichita Falls TX & Lawton OK,39,56
Wichita-Hutchinson KS,46,63
Wilkes Barre-Scranton PA,47,75
Wilmington NC,45,66
Yakima-Pasco-Richland-Kennewick WA,40,64
Youngstown OH,45,64
Yuma AZ-El Centro CA,45,61
Zanesville OH,51,69
